English	Verb	Conjugation group	Ja	Ty	On/ona/ono	My	Wy	Oni/one	Case
Love	kochać	C1	kocham	kochasz	kocha	kochamy	kochacie	kochają	accusative
Know person	znać	C1	znam	znasz	zna	znamy	znacie	znają	accusative
Know fact	wiedzieć	irregular	wiem	wiesz	wie	wemy	wiecie	wiedzą	accusative
Do / make	robić	C3	robię	robisz	robi	robimy	robicie	robią	accusative
Learn / study	uczyć się	C3	uczę się	uczysz się	uczy się	uczymy się	uczycie się	uczą się	genitive
Write	pisać	C4	piszę	piszesz	pisze	piszemy	piszecie	piszą	accusative
Be	być	irregular	jestem	jesteś	jest	jesteśmy	jesteście	są	instrumental
Have	mieć	C1	mam	masz	ma	mamy	macie	mają	accusative
See	widzieć	C3	widzę	widzisz	widzi	widzimy	widzicie	widzą	accusative
Drink	pić	C4	piję	pijesz	pije	pijemy	pijecie	piją	accusative
Eat	jeść	irregular	jem	jesz	je	jemy	jecie	jedzą	accusative
Like	lubić	C3	lubię	lubisz	lubi	lubimy	lubicie	lubią	accusative
Buy	kupować	C4	kupuję	kupujesz	kupuje	kupujemy	kupujecie	kupują	accusative
Read	czytać	C1	czytam	czytasz	czyta	czytamy	czytacie	czytają	accusative
Look	patrzeć	C3	patrzę	patrzysz	patrzy	patrzymy	patrzycie	patrzą	prepositional
Listen	słuchać	C1	słucham	słuchasz	słucha	słuchamy	słuchacie	słuchają	genitive
Need	potrzebować	C4	potrzebuję	potrzebujesz	potrzebuje	potrzebujemy	potrzebujecie	potrzebują	genitive
Fear	bać się	C3	boję się	boisz się	boi się	boimy się	boicie się	boją się	genitive
Take interest	interesować się	C4	interesuję się	interesujesz się	interesuje się	interesujemy się	interesujecie się	interesują się	instrumental
Go	chodzić	C3	chodzę	chodzisz	chodzi	chodzimy	chodzicie	chodzą	prepositional
Become	zostać	C4	zostanę	zostaniesz	zostanie	zostaniemy	zostaniecie	zostaną	instrumental
Speak	mówić	C3	mówię	mówisz	mówi	mówimy	mówicie	mówią	dative
Give	dawać	C4	daję	dajesz	daje	dajemy	dajecie	dają	dative
Help	pomagać	C1	pomagam	pomagasz	pomaga	pomagamy	pomagacie	pomagają	dative
Thank	dziękować	C4	dziękuję	dziękujesz	dziękuje	dziękujemy	dziękujecie	dziękują	dative
Walk	iść	C4	idę	idziesz	idzie	idziemy	idziecie	idą	prepositional
Drive	jechać	C4	jadę	jedziesz	jedzie	jedziemy	jedziecie	jadą	instrumental
Arrive	przyjechać	C4	przyjadę	przyjedziesz	przyjedzie	przyjedziemy	przyjedziecie	przyjadą	prepositional
Fly	lecieć	C3	lecę	lecisz	leci	lecimy	lecicie	lecą	prepositional
Return	wracać	C1	wracam	wracasz	wraca	wracamy	wracacie	wracają	prepositional
Think	myśleć	C3	myślę	myślisz	myśli	myxlismy	myślicie	myślą	prepositional
Converse	rozmawiać	C1	rozmawiam	rozmawiasz	rozmawia	rozmawiamy	rozmawiacie	rozmawiają	prepositional
Ask	pytać	C1	pytam	pytasz	pyta	pytamy	pytacie	pytają	accusative
Answer	odpowiadać	C1	odpowiadam	odpowiadasz	odpowiada	odpowiadamy	odpowiadacie	odpowiadają	dative
Understand	rozumieć	C2	rozumiem	rozumiesz	rozumie	rozumiemy	rozumiecie	rozumieją	accusative
Remember	pamiętać	C1	pamiętam	pamiętasz	pamięta	pamiętamy	pamiętacie	pamiętają	accusative
Forget	zapomnieć	C3	zapomnę	zapomnisz	zapomni	zapomniemy	zapomniecie	zapomną	genitive
Wash	myć	C4	myję	myjesz	myje	myjemy	myjecie	myją	accusative
Clean	sprzątać	C1	sprzątam	sprzątasz	sprząta	sprzątamy	sprzatacie	sprzątają	accusative
Cook	gotować	C4	gotuję	gotujesz	gotuje	gotujemy	gotujecie	gotują	accusative
Watch	oglądać	C1	oglądam	oglądasz	ogląda	oglądamy	oglądacie	oglądają	accusative
Play	grać	C1	gram	grasz	gra	gramy	gracie	grają	prepositional
Work	pracować	C4	pracuję	pracujesz	pracuje	pracujemy	pracujecie	pracują	prepositional
Rest	odpoczywać	C1	odpoczywam	odpoczywasz	odpoczywa	odpoczywamy	odpoczywacie	odpoczywają	prepositional
Can	móc	irregular	mogę	możesz	może	możemy	możecie	mogą	infinitive
Must	musieć	C3	muszę	musisz	musi	musimy	musicie	muszą	infinitive
Prefer	woleć	C3	wolę	wolisz	woli	wolimy	wolicie	wolą	infinitive
Know how to	potrafić	C1	potrafię	potrafisz	potrafi	potrafimy	potraficie	potrafią	infinitive
Cost	kosztować	C4	kosztuję	kosztujesz	kosztuje	kosztujemy	kosztujecie	kosztują	accusative
Sell	sprzedawać	C4	sprzedaję	dajesz	sprzedaje	sprzedajemy	sprzedajecie	sprzedają	accusative
Pay	płacić	C3	płacę	płacisz	płaci	płacimy	płacicie	płacą	dative
Find	znajdować	C4	znajduję	znajdujesz	znajduje	znajdujemy	znajdujecie	znajdują	accusative
Lose	zgubić	C3	zgubię	zgubisz	zgubi	zgubimy	zgubicie	zgubią	accusative
Meet	spotykać	C1	spotykam	spotykasz	spotyka	spotykamy	spotykacie	spotykają	accusative
Open	otwierać	C1	otwieram	otwierasz	otwiera	otwieramy	otwieracie	otwierają	accusative
Close	zamykać	C1	zamykam	zamykasz	zamyka	zamykamy	zamykacie	zamykają	accusative
Wait	czekać	C1	czekam	czekasz	czeka	czekamy	czekacie	czekają	prepositional
Feel	czuć	C4	czuję	czujesz	czuje	czujemy	czujecie	czują	accusative
Happen	dziać się	C4	dzieję się	dziejesz się	dzieje się	dziejemy się	dziejecie się	dzieją się	nominative
Live	żyć	C4	żyję	żyjesz	żyje	żyjemy	żyjecie	żyją	prepositional
Mieszkań	mieszkać	C1	mieszkam	mieszkasz	mieszka	mieszkamy	mieszkacie	mieszkają	prepositional
Intend	zamierzać	C1	zamierzam	zamierzasz	zamierza	zamierzamy	zamierzacie	zamierzają	infinitive
Consider / think	uważać	C1	uważam	uważasz	uważa	uważamy	uważacie	uważają	accusative
Agree	zgadzać się	C1	zgadzam się	zgadzasz się	zgadza się	zgadzamy się	zgadzacie się	zgadzają się	instrumental
